"a","b","sigma1","Scenario"
0.901991311665271,4.89330293140388,1.10249724043474,"Scenario 2 (a=0.9, b=5, sig=1)"
0.893503487925757,5.37111709015221,1.00473653267592,"Scenario 2 (a=0.9, b=5, sig=1)"
0.912706508631785,4.44394296091452,0.911532823400642,"Scenario 2 (a=0.9, b=5, sig=1)"
0.921021117525902,3.91982798143272,1.04964768684166,"Scenario 2 (a=0.9, b=5, sig=1)"
0.872221119397784,6.4437286528485,1.00286799566704,"Scenario 2 (a=0.9, b=5, sig=1)"
0.892134780652169,5.43210542344572,1.03106453473995,"Scenario 2 (a=0.9, b=5, sig=1)"
0.869786977416945,6.42160180294869,0.00212363159506263,"Scenario 2 (a=0.9, b=5, sig=1)"
0.893153882417364,5.25457351052335,0.914349673959674,"Scenario 2 (a=0.9, b=5, sig=1)"
0.911590504464764,4.37519683080931,0.845494140212027,"Scenario 2 (a=0.9, b=5, sig=1)"
0.889507381549605,5.52255859140971,1.09568288146127,"Scenario 2 (a=0.9, b=5, sig=1)"
0.896061484912511,5.13576617246908,0.726803570681175,"Scenario 2 (a=0.9, b=5, sig=1)"
0.900829705742119,5.03048459947887,0.864769035635465,"Scenario 2 (a=0.9, b=5, sig=1)"
0.901114101501463,5.1439537086516,1.05471851922186,"Scenario 2 (a=0.9, b=5, sig=1)"
0.885637654583971,5.78686632859923,1.07705746220204,"Scenario 2 (a=0.9, b=5, sig=1)"
0.899027458700734,5.00985682989446,0.867868981740332,"Scenario 2 (a=0.9, b=5, sig=1)"
0.911398739494649,4.4945754002706,0.892158545540302,"Scenario 2 (a=0.9, b=5, sig=1)"
0.916945862556738,4.20168450733135,0.897630255244626,"Scenario 2 (a=0.9, b=5, sig=1)"
0.891160268412141,5.37749550192189,1.11862903672452,"Scenario 2 (a=0.9, b=5, sig=1)"
0.887098682411003,5.5847654173513,1.14454655957198,"Scenario 2 (a=0.9, b=5, sig=1)"
0.910376708293205,4.57789686408251,0.950632580397792,"Scenario 2 (a=0.9, b=5, sig=1)"
0.885102456482018,5.70449384253483,1.12821961180213,"Scenario 2 (a=0.9, b=5, sig=1)"
0.877371345013652,5.98676448508281,1.04900438560048,"Scenario 2 (a=0.9, b=5, sig=1)"
0.893160994567162,5.28852757919722,1.23978009225272,"Scenario 2 (a=0.9, b=5, sig=1)"
0.892351010244815,5.4309188682516,0.829109280272285,"Scenario 2 (a=0.9, b=5, sig=1)"
0.918140749692558,4.16897965511961,0.869856162361686,"Scenario 2 (a=0.9, b=5, sig=1)"
0.868386924841916,6.46402997855585,1.17667552219441,"Scenario 2 (a=0.9, b=5, sig=1)"
0.88785945167731,5.53776511711609,0.836140033401439,"Scenario 2 (a=0.9, b=5, sig=1)"
