"Time","True_State","Observation","Predicted_State_Mean","Predicted_State_Var","CI_Lower_95","CI_Upper_95","Filtered_State_Mean","Filtered_State_Var","Innovation","Innovation_Var"
66,8.00306462068457,8.00312750474992,8.75826608663141,1.48389990267865,6.37068365535698,11.1458485179058,8.30714079492604,0.597407287257593,-0.755138581881486,2.48389990267865
67,9.32564780199608,10.7655035449723,8.47642671543344,1.48389990267865,6.08884428415901,10.8640091467079,9.84393789449244,0.597407287257593,2.28907682953883,2.48389990267865
68,8.29596925339065,8.17864969314047,9.8595441050432,1.48389990267865,7.47196167376877,12.2471265363176,8.85536553426195,0.597407287257593,-1.68089441190272,2.48389990267865
69,9.66787072897129,9.19814114840499,8.96982898083575,1.48389990267865,6.58224654956132,11.3574114121102,9.10622433351119,0.597407287257593,0.228312167569237,2.48389990267865
70,9.64861417113516,9.56250687289807,9.19560190016007,1.48389990267865,6.80801946888564,11.5831843314345,9.4147936046048,0.597407287257593,0.366904972738004,2.48389990267865
71,8.79607373611522,8.35138973123048,9.47331424414432,1.48389990267865,7.0857318128699,11.8608966754187,8.80306836437667,0.597407287257593,-1.12192451291384,2.48389990267865
72,8.88702148341546,8.47315263435753,8.922761527939,1.48389990267865,6.53517909666457,11.3103439592134,8.65416189849761,0.597407287257593,-0.449608893581468,2.48389990267865
73,10.1117053584421,9.63071251678813,8.78874570864785,1.48389990267865,6.40116327737342,11.1763281399223,9.29174281545987,0.597407287257593,0.841966808140283,2.48389990267865
74,9.66736578999717,10.3642283665493,9.36256853391388,1.48389990267865,6.97498610263946,11.7501509651883,9.96096741728349,0.597407287257593,1.0016598326354,2.48389990267865
75,8.64426079782655,8.60356232267533,9.96487067555514,1.48389990267865,7.57728824428071,12.3524531068296,9.15161514534011,0.597407287257593,-1.36130835287981,2.48389990267865
76,7.2282898956963,8.39545944493199,9.2364536308061,1.48389990267865,6.84887119953168,11.6240360620805,8.73403757562364,0.597407287257593,-0.840994185874116,2.48389990267865
77,7.23181520475259,6.76396988008034,8.86063381806127,1.48389990267865,6.47305138678685,11.2482162493357,7.60807150258126,0.597407287257593,-2.09666393798093,2.48389990267865
78,6.27038135629112,6.26261932251379,7.84726435232314,1.48389990267865,5.45968192104871,10.2348467835976,6.90058586379851,0.597407287257593,-1.58464502980934,2.48389990267865
79,5.84306104271035,5.30956871275991,7.21052727741866,1.48389990267865,4.82294484614423,9.59810970869309,6.07488077811679,0.597407287257593,-1.90095856465875,2.48389990267865
