"a","b","sigma1","nu"
0.938982126716997,0.520206346227165,2.05128564236383,"nu = 2"
0.875164264445366,7.63888506682805,48.422731267979,"nu = 2"
0.911493052565329,1.26963749921988,3.39920563427136,"nu = 2"
0.872130294946985,1.41900516884329,1.63073797975183,"nu = 2"
0.823581165946531,1.28615542024461,2.45615353023309,"nu = 2"
0.893923072354874,0.641311727111939,1.86415505201389,"nu = 2"
0.921822574888232,0.924407689693579,3.30337650861941,"nu = 2"
0.916903586461149,0.670046854733933,1.47829866490551,"nu = 2"
0.846614803682627,2.3428118643174,2.81608707946416,"nu = 2"
0.896786997789837,1.15322757334893,2.23193305609618,"nu = 2"
0.784969858486438,1.80459609362415,1.87351535643801,"nu = 2"
0.928582725942746,0.614603175815513,2.2928879915709,"nu = 2"
0.88555180885113,1.38941828916137,2.36749902306863,"nu = 2"
0.93165059787743,0.82230273794488,1.87665250004093,"nu = 2"
0.880492650844644,1.0965163737163,1.71239605165379,"nu = 2"
0.926700032919352,0.813984871821975,2.20164857511629,"nu = 2"
0.856160241932541,0.961550087496611,2.05904512800706,"nu = 2"
0.882967800083998,1.4438456430791,2.0477021378625,"nu = 2"
0.870552010567044,1.11507990528081,1.63313577464118,"nu = 2"
0.905308112248833,0.965397879123651,2.41387799117133,"nu = 2"
0.886007032972631,0.801296890076309,1.98467556231604,"nu = 2"
0.870907014140736,1.01621435297305,1.84305189415092,"nu = 2"
0.878335887501587,1.31967078152143,1.6984348593538,"nu = 2"
0.903323714239095,0.817893133748453,3.64610224327797,"nu = 2"
0.882921596971476,0.793994675273032,2.44406173701873,"nu = 2"
0.753342275350872,3.06105361708056,2.01386589638867,"nu = 2"
0.848614554934557,1.75328036370967,3.22833684395317,"nu = 2"
0.852596014581586,1.59172123315861,2.48267729895691,"nu = 2"
0.904027185020933,0.671580922008342,3.73135814988743,"nu = 2"
0.867468249831846,0.941406645922601,2.56638560655941,"nu = 2"
0.944195768597583,0.65958381397753,2.64492006022171,"nu = 2"
0.914675485357262,0.752212038455278,2.22723836786773,"nu = 2"
0.890204979667089,0.726380097798286,1.8916854188362,"nu = 2"
0.957229229434267,0.327709221774208,2.28553798269184,"nu = 2"
0.864572070009159,1.64802367806483,2.19648941568241,"nu = 2"
0.895139844091247,0.947141670435285,2.04624875524678,"nu = 2"
0.940831738100092,0.647968285757292,2.01377089408221,"nu = 2"
0.868244202630863,1.47277267507494,1.41973420636889,"nu = 2"
0.876845218603049,1.620011665932,2.26003337519991,"nu = 2"
0.849534009743675,1.44505234463248,2.05222641774238,"nu = 2"
0.916616249286087,0.898045089224195,1.65385645047211,"nu = 2"
0.682824870446791,2.00674519033767,2.66417084004026,"nu = 2"
0.846247310205813,2.16384804677612,3.62911630655492,"nu = 2"
0.734768382979327,3.53840633407005,1.51601800417923,"nu = 2"
0.887640334356187,0.667215220344611,3.47573959256726,"nu = 2"
0.740986427395645,3.15747155734913,1.83575058555203,"nu = 2"
0.86645024854157,1.63741671205044,1.9508090125831,"nu = 2"
0.929599468157241,0.769234826786844,1.77347965415518,"nu = 2"
0.880372548270424,0.906630014469521,2.40223565939829,"nu = 2"
0.874280286541588,1.40262820990899,3.18168738889504,"nu = 2"
0.943148858126708,0.259593320052853,1.85096406984747,"nu = 2"
0.854252765343459,1.43177654857088,1.71727739005178,"nu = 2"
